Wall time,Step,Value
1741847025.3465884,2500,-23881.63671875
1741847167.0210552,7500,-44981.9609375
1741847179.8280797,8000,-24557.873046875
1741847220.3092532,9500,-58163.59375
1741847233.110242,10000,-51903.2734375
1741847273.369712,11500,-29372.91796875
1741847326.3900483,13500,-31864.396484375
1741847339.5464766,14000,-64374.3515625
1741847514.102072,20500,-42705.3203125
1741847605.8910172,24000,-30259.8671875
1741847618.851741,24500,-45472.92578125
1741847632.6308258,25000,-29422.359375
1741847698.204127,27500,-35975.66015625
1741847804.4432716,31500,-36235.7109375
1741847818.1595597,32000,-21573.400390625
1741847857.513131,33500,-27235.244140625
1741847871.5477612,34000,-21046.87890625
1741847910.6258955,35500,-33149.84765625
1741847924.485151,36000,-24293.8125
1741848003.8287644,39000,-24842.8046875
1741848070.7198575,41500,-21870.67578125
1741848163.4962044,45000,-44758.4296875
1741848306.0831325,50000,-37461.61328125
1741848371.7316687,52000,-17674.66796875
1741848431.06288,53500,-33415.15625
1741848449.9164708,54000,-24723.744140625
1741848626.599514,58500,-16382.76171875
1741848723.2102623,61000,-16946.17578125
1741848800.629341,63000,-15402.421875
1741848820.4485776,63500,-8450.1767578125
1741848857.973088,64500,-46892.2265625
1741848896.2880495,65500,-14931.7998046875
1741849016.4986415,68500,-15340.2294921875
1741849037.1367118,69000,-29667.818359375
1741849176.4746711,72500,-16765.544921875
1741849216.9208536,73500,-18495.154296875
1741849237.6972237,74000,-21100.314453125
1741849298.8838403,75500,-12407.978515625
1741849442.6954806,79000,-32491.951171875
1741849502.9240377,80500,-19253.7890625
1741849542.8205087,81500,-17763.619140625
1741849583.0895295,82500,-17598.91796875
1741849724.2197437,86000,-16633.91796875
1741849745.0187876,86500,-17488.14453125
1741849845.2100506,89000,-15241.134765625
1741849987.9480145,92500,-23923.046875
1741850007.3246818,93000,-18872.087890625
1741850028.3306475,93500,-19683.306640625
1741850108.655397,95500,-17824.607421875
1741850127.9040067,96000,-7043.50830078125
1741850149.0822096,96500,-19118.15625
1741850291.0012708,100000,-13635.2236328125
1741850351.6695416,101500,-15700.193359375
1741850371.1469455,102000,-18689.09765625
1741850391.945729,102500,-26067.59765625
1741850411.7597034,103000,-20640.25
1741850452.660095,104000,-14918.05859375
1741850533.1178782,106000,-24084.611328125
1741850573.3549879,107000,-12043.6298828125
1741850613.6312478,108000,-11548.611328125
1741850714.0901256,110500,-51595.8359375
1741850734.7082415,111000,-14358.0908203125
1741850793.8219213,112500,-18040.61328125
1741850894.2465646,115000,-14648.1533203125
1741851194.3311267,122500,-28661.44921875
1741851215.4517152,123000,-21113.189453125
1741851234.8778229,123500,-29141.998046875
1741851477.1129997,129500,-18631.650390625
1741851496.374874,130000,-21734.60546875
1741851517.2361188,130500,-29223.486328125
1741851736.7921257,136000,-33955.9375
1741851797.6962702,137500,-16346.4794921875
1741851837.4948626,138500,-29026.029296875
1741851877.2252982,139500,-23002.38671875
1741851957.2507644,141500,-21291.44140625
1741852017.081134,143000,-20161.333984375
1741852078.3848963,144500,-17728.6484375
1741852119.1895802,145500,-23964.544921875
1741852219.185059,148000,-12102.4130859375
1741852259.5665705,149000,-13329.451171875
1741852279.1152015,149500,-31337.529296875
1741852439.1661825,153500,-9287.4267578125
1741852479.3499794,154500,-15127.4921875
1741852558.936986,156500,-21683.009765625
1741852639.3678882,158500,-22448.267578125
1741852679.945194,159500,-14521.724609375
1741852700.8414652,160000,-29443.4453125
1741852761.1295617,161500,-18792.6875
1741853063.4230726,169000,-9777.576171875
1741853082.6447577,169500,-23831.6640625
1741853183.2016754,172000,-13045.4521484375
1741853223.1855638,173000,-14077.3388671875
1741853244.020223,173500,-23658.3125
1741853364.0637832,176500,-11778.3349609375
1741853404.7395587,177500,-37442.3671875
1741853484.6359613,179500,-17973.439453125
1741853604.8099372,182500,-13751.0390625
1741853624.0207524,183000,-24951.375
1741853644.5546777,183500,-9438.705078125
1741853663.8818767,184000,-6758.33740234375
1741853885.5937755,189500,-14578.263671875
1741854044.2419555,193500,-16911.849609375
1741854124.2626429,195500,-10268.1376953125
1741854164.153906,196500,-29295.203125
1741854264.397658,199000,-13073.4873046875
1741854364.3221507,201500,-13256.810546875
1741854404.2261472,202500,-21666.189453125
1741854623.967599,208000,-28889.12109375
1741854744.2593887,211000,-15619.080078125
1741854763.4423969,211500,-17447.8515625
1741854844.4072022,213500,-6242.37060546875
1741855044.3445325,218500,-22610.349609375
1741855063.781949,219000,-17212.55078125
1741855104.4297814,220000,-14137.9931640625
1741855183.500531,222000,-9744.79296875
1741855204.4638727,222500,-16946.474609375
1741855244.4640114,223500,-31222.01171875
1741855325.0837274,225500,-14142.99609375
1741855365.1877728,226500,-28772.232421875
1741855445.2632632,228500,-7895.86474609375
1741855544.7363102,231000,-22469.427734375
1741855624.9577093,233000,-8700.76171875
1741855684.7804372,234500,-18035.94140625
1741855723.8231108,235500,-12222.0576171875
1741855804.0578492,237500,-12454.6455078125
1741855824.6020577,238000,-3039.770751953125
1741855926.4576275,240500,-19031.279296875
1741855947.1913204,241000,-20703.916015625
1741856068.6366048,244000,-16506.91015625
1741856109.2971346,245000,-16196.744140625
1741856208.619881,247500,-321.8379821777344
1741856287.9654572,249500,-28073.685546875
1741856509.6229537,255000,-28023.951171875
1741856528.8967197,255500,-13533.0556640625
1741856549.742327,256000,-6993.47802734375
1741856569.0630345,256500,-12633.7763671875
1741856588.6466794,257000,-15084.9580078125
1741856609.4177272,257500,-20345.181640625
1741856668.272057,259000,-23043.1015625
1741856688.7373035,259500,-15228.9697265625
1741856708.0852537,260000,-20819.12890625
1741856987.3452902,267000,-8908.8369140625
1741857007.9791174,267500,-25022.904296875
1741857047.8730564,268500,-23712.72265625
1741857067.2145364,269000,-23650.63671875
