Wall time,Step,Value
1742658045.7128017,500,-2.733269453048706
1742658062.6047068,1000,-2.6108920574188232
1742658079.393143,1500,-3.7204203605651855
1742658096.2363253,2000,-3.0197126865386963
1742658114.359763,2500,-1.7638386487960815
1742658131.268315,3000,-3.054579734802246
1742658148.0912983,3500,-1.4521127939224243
1742658164.9014661,4000,-2.9750707149505615
1742658183.0470328,4500,-2.7279512882232666
1742658199.9374442,5000,-5.597493648529053
1742658216.7363956,5500,-5.1358771324157715
1742658233.660009,6000,-2.549177885055542
1742658251.739344,6500,-3.967273712158203
1742658268.5897772,7000,-2.8596856594085693
1742658285.383633,7500,-4.517093658447266
1742658302.3170407,8000,-2.7146196365356445
1742658320.396981,8500,-2.9749364852905273
1742658337.3580453,9000,-1.4137674570083618
1742658354.2097733,9500,-1.0682002305984497
1742658371.0654933,10000,-2.459669351577759
1742658389.031165,10500,-3.560934543609619
1742658405.8653324,11000,-2.5540621280670166
1742658422.6763697,11500,-4.441792011260986
1742658439.45202,12000,-3.2534074783325195
1742658457.525084,12500,-2.6821188926696777
1742658474.4113665,13000,-2.9946022033691406
1742658491.273347,13500,-4.368856906890869
1742658508.1911962,14000,-1.4609390497207642
1742658526.297838,14500,-3.4751951694488525
1742658543.1215646,15000,-2.8845837116241455
1742658559.9953005,15500,-2.424062728881836
1742658576.928608,16000,-2.8255274295806885
1742658595.0436344,16500,-3.643340587615967
1742658611.9144914,17000,-1.5710716247558594
1742658628.9451835,17500,-1.5574144124984741
1742658645.8004563,18000,-1.31219482421875
1742658664.013085,18500,-4.736043930053711
1742658680.8529332,19000,-1.7938235998153687
1742658697.8246286,19500,-1.4030060768127441
1742658714.6309142,20000,-2.479897975921631
1742658732.7673304,20500,-2.022197723388672
1742658749.6866672,21000,-3.430419921875
1742658766.4520295,21500,-0.7720250487327576
1742658783.4103177,22000,-2.1629059314727783
1742658800.245957,22500,-2.9917352199554443
1742658818.3130584,23000,-2.00610613822937
1742658835.277007,23500,-2.296480894088745
1742658852.107901,24000,-1.5117884874343872
1742658868.9528632,24500,-3.0844647884368896
1742658887.1358128,25000,-2.0968079566955566
1742658904.0660644,25500,-3.1192660331726074
1742658920.8112218,26000,-2.774548053741455
1742658937.7303565,26500,-1.6861836910247803
1742658955.8900495,27000,-2.6598172187805176
1742658972.770586,27500,-2.880284070968628
1742658989.6723945,28000,-2.8618640899658203
1742659007.463863,28500,-3.6132559776306152
1742659027.404622,29000,-2.0133585929870605
1742659044.4260259,29500,-2.394923210144043
1742659061.325896,30000,-4.518806457519531
1742659078.1427138,30500,-2.226422071456909
1742659096.35266,31000,-1.857913851737976
1742659113.2961802,31500,-2.067434310913086
1742659130.0669768,32000,-2.8201868534088135
1742659146.8659458,32500,-5.177485466003418
