Wall time,Step,Value
1742970775.6871672,500,-5016.21826171875
1742970833.305865,2000,-8.338603973388672
1742970853.2660618,2500,-3174.66259765625
1742970962.636048,5500,-4116.3193359375
1742970980.3452532,6000,-5063.322265625
1742971035.5374906,7500,-4341.98779296875
1742971053.5375857,8000,-2371.174072265625
1742971108.314115,9500,-1662.73046875
1742971126.1038868,10000,-2664.034423828125
1742971145.4227755,10500,-3948.39697265625
1742971181.473244,11500,-2932.0732421875
1742971199.5333645,12000,-499.33868408203125
1742971254.7567282,13500,-2310.513916015625
1742971272.7976537,14000,-1993.4107666015625
1742971383.2098699,17000,-696.567626953125
1742971438.4697325,18500,-2397.3408203125
1742971456.1906965,19000,-470.5240173339844
1742971474.1445968,19500,-1.8831111192703247
1742971492.171026,20000,-2887.150390625
1742971511.651704,20500,-2930.573974609375
1742971638.6719706,24000,-1376.66845703125
1742971656.39706,24500,-1646.6326904296875
1742971675.6827958,25000,-536.7364501953125
1742971711.6284997,26000,-36.32328414916992
1742971729.5781848,26500,-744.8448486328125
1742971766.841788,27500,-2510.8505859375
1742971822.369393,29000,-1856.8636474609375
1742971876.201949,30500,-138.5418243408203
1742971895.526384,31000,-469.4386291503906
1742971913.7368677,31500,-1906.9195556640625
1742971931.5720851,32000,-2374.197265625
1742971968.866229,33000,-1667.6307373046875
1742971986.7278495,33500,-4443.02734375
1742972004.6335049,34000,-2332.241943359375
1742972022.7266557,34500,-2178.09521484375
1742972059.9545019,35500,-585.4884033203125
1742972077.9071066,36000,-3700.102294921875
1742972188.934855,39000,-366.6180114746094
1742972224.8336775,40000,-1341.1796875
1742972242.7419229,40500,-1266.1236572265625
1742972279.8470542,41500,-3186.661865234375
1742972297.9098325,42000,-7.3108439445495605
1742972333.6639917,43000,-1045.44384765625
1742972406.8796291,45000,-1001.1633911132812
1742972426.228398,45500,-329.1181640625
1742972517.1896372,48000,-3899.07666015625
1742972590.7253823,50000,-50.78305435180664
1742972608.78829,50500,-43.712745666503906
1742972664.0827081,52000,-1058.1834716796875
1742972719.5071783,53500,-1015.4537963867188
1742972737.308238,54000,-4774.0673828125
1742972773.0575526,55000,-1373.0465087890625
1742972865.9953701,57500,-4799.02587890625
1742972901.7941697,58500,-1887.4613037109375
1742972992.7679374,61000,-1138.107666015625
1742973065.710196,63000,-787.6498413085938
1742973084.9594386,63500,-1584.14794921875
1742973120.7333674,64500,-1643.6761474609375
1742973156.4935076,65500,-2421.327880859375
1742973175.7825017,66000,-1538.0484619140625
1742973193.82859,66500,-1767.6055908203125
1742973266.8930354,68500,-2301.275390625
1742973284.5929074,69000,-31.61882972717285
1742973395.622125,72000,-457.31182861328125
1742973413.7283068,72500,-58.94766616821289
1742973449.7680454,73500,-1605.5689697265625
1742973469.0901616,74000,-2526.5908203125
1742973523.0604541,75500,-680.0006713867188
1742973651.3633287,79000,-1659.275146484375
1742973688.9104333,80000,-724.2975463867188
1742973706.6885467,80500,-465.0265197753906
